year7_pct_incorrect,year8_pct_incorrect,year9_pct_incorrect,year10_pct_incorrect,year11_pct_incorrect,overall_pct_incorrect,most_common_wrong_answer,explanation,_n_extracted,QuestionId,replication
75,65,55,45,35,55,C,"The most pervasive misconception here is that the number zero 'doesn't count' when calculating the mean. Students frequently divide by 4 (Option C) because they only count the non-zero digits, failing to understand that zero is a data point that affects the denominator. Regarding the specific misconception mentioned in the prompt (Order of Operations), many students would also select Option B if they were thinking of the steps sequentially but fail to recognise that without brackets, the divisio",6,254,2
75,65,55,45,35,55,C,"The most pervasive misconception here is the 'Zero Property' in statistics; many students across all key stages believe that zero 'doesn't count' when calculating a mean, leading them to divide by 4 (Option C). Furthermore, Option B is a classic 'calculator syntax' error where students fail to apply BIDMAS/PEMDAS, incorrectly assuming the division only applies to the final number. Even high-attaining students often rush and select C because they mentally discount the 0 as having no value, forget",6,254,3
75,65,55,45,35,55,C,"The primary misconception here is twofold: First, students frequently believe that a zero in a data set ""doesn't count,"" leading them to divide by 4 instead of 5 (Option C). This is the most prevalent error across all year groups. Second, students with weak BIDMAS/order of operations knowledge may select Option B, failing to realise that without brackets or a fraction bar, only the 7 is being divided by 5. Option A is often viewed with suspicion by lower-ability students because the zero is ""mis",6,254,4
65,50,40,30,22,41,A,"The most prevalent error is the 'Left-to-Right' bias, where students simply process numbers as they read them (Option A). Despite BIDMAS/BODMAS being taught from Year 6, many students struggle to override their natural reading instinct. Option B is also a common distraction for students who remember that 'multiplication comes before subtraction' but forget that brackets take absolute priority. Even in Year 11, under pressure, a significant minority of students will fall back on the intuitive lef",6,304,0
55,45,35,25,20,36,A,"The most common error is the 'Left-to-Right' bias. Despite being taught BIDMAS/BODMAS, many students instinctively treat a horizontal number sentence like a sentence of text, performing operations as they encounter them. Option A (1+2) is the most common distractor because it is the first operation on the left. Even students who remember the acronym often fail to apply it when the addition looks 'easier' than the directed number calculation inside the brackets. Option B is also a common error fo",6,304,1
55,45,35,25,20,36,A,"The most common error is the ""left-to-right"" bias. Many students read a mathematical expression like a sentence and assume the operations must be performed in the order they appear. Even students who can recite the BIDMAS/BODMAS acronym often fail to apply it when the addition (A) appears at the very start of the string, as the visual pull of '1 + 2' is incredibly strong. Some students may also choose B if they have a partial understanding of BIDMAS (knowing multiplication comes before addition)",6,304,2
55,45,35,25,18,36,A,"The primary misconception is the ""left-to-right"" bias, where students treat a mathematical expression like a sentence in English. Despite being taught BIDMAS/BODMAS, many students instinctively choose Option A (1+2) because it is the first operation they encounter. Another significant group of students mistakenly believe that addition should come before subtraction or multiplication simply because of the order of letters in the BIDMAS acronym, or they ignore the brackets entirely if they perceiv",6,304,3
65,50,40,30,20,41,A,"The primary reason students answer incorrectly is 'left-to-right' processing. Despite being taught BIDMAS/BODMAS, many students instinctively treat mathematics as a language read from left to right. Option A (1+2) is the most common error because it is the first operation encountered. Even students who remember the acronym often struggle with the 'B' (Brackets), mistakenly believing the bracket must be 'expanded' or 'removed' by multiplying (Option B) before looking at what is inside it. By Year",6,304,4
65,55,45,35,25,45,A,"The primary misconception is a rigid adherence to reading calculations from left to right, leading students to select A. In Problem P, many students correctly identify that addition and subtraction have equal priority and work left-to-right. However, in Problem Q, the ""left-to-right"" habit often overrides the BIDMAS/BODMAS rule for multiplication. Interestingly, a significant minority choose D because they see 'A' comes before 'S' in the acronym (BIDMAS), incorrectly believing they must add 5+6 ",6,306,0
65,50,40,30,22,41,A,"The primary misconception is the 'Left-to-Right' bias, where students simply process numbers as they read them. In Problem P, students correctly identify 4-5 as the first step (moving left to right), but they apply this same logic to Problem Q, ignoring the BIDMAS/BODMAS rule that multiplication takes precedence over addition. Additionally, a significant minority of students choose D because they have been taught 'Addition comes before Subtraction' in the BIDMAS acronym (A before S), leading the",6,306,1
65,50,40,30,25,42,A,"The primary misconception stems from a rigid, literal interpretation of the BIDMAS/BODMAS acronym. For Problem P, many students believe addition must always come before subtraction because 'A' precedes 'S' in the acronym (leading them to incorrectly pick C or D). However, the most prevalent error across both problems is ""left-to-right processing"" regardless of operators. In Problem Q, students frequently succumb to the ""Addition before Multiplication"" error (picking A or C) because they read the",6,306,2
65,55,45,35,25,45,A,"The primary misconception is a rigid adherence to the 'Left-to-Right' rule for all calculations, leading students to choose Option A. While Year 7 students are often taught BIDMAS/BODMAS, they frequently struggle with the hierarchy of operations when mixed with addition and subtraction. Many students also fall into the trap of Option D because they misinterpret the 'A' (Addition) coming before 'S' (Subtraction) in the acronym, believing they must always add before they subtract, even though they",6,306,3
65,55,45,35,25,45,A,"The primary misconception is a rigid 'left-to-right' processing bias, leading students to select Option A. In Problem P, many students correctly identify that addition and subtraction have equal priority and work left-to-right. However, the same 'reading order' logic is incorrectly applied to Problem Q, where they ignore the BIDMAS/BODMAS rule that multiplication takes precedence over addition. A secondary misconception (Option D) occurs among students who over-apply the acronym, believing 'Addi",6,306,4
75,65,55,45,35,55,B,"The primary misconception is the 'Left-to-Right' trap. Many students ignore BIDMAS/BODMAS rules when decimals are involved because the cognitive load of the numbers distracts them from the structure of the expression. Students choosing B (Katie) often believe that the subtraction should happen first because it appears first on the left, leading them to think the expression is equivalent to (0.1 - 0.2) ÷ 0.3. When they see Katie's version, they mistakenly think it's a valid rearrangement. A signi",6,329,0
85,75,65,55,45,65,B,"The primary hurdle here is a combination of two factors: the 'Left-to-Right' misconception and the presence of decimals. Many students instinctively believe that operations should be performed in the order they appear (0.1 minus 0.2 first). Because 0.1 - 0.2 results in a negative number, students often experience 'subtraction anxiety' or 'negative number avoidance'. They look at Katie's suggestion and see 0.2 ÷ 0.3 as a larger value being placed first, which they erroneously assume is a 'fix' to",6,329,1
85,75,65,55,45,65,B,"The primary hurdle here is the combination of decimals and BIDMAS/BODMAS. Many students struggle with the 'left-to-right' bias, assuming that subtraction should be performed first because it appears first in the expression. This leads them to believe Tom is wrong. Furthermore, students often find division by a larger decimal (0.2 ÷ 0.3) counter-intuitive, leading them to gravitate towards Katie's suggestion (Option B) because they mistakenly believe the order can be swapped to make the numbers '",6,329,2
85,75,65,55,45,65,B,"The primary reason for incorrect answers is the 'left-to-right' bias. Many students ignore BIDMAS/BODMAS when decimals are involved, as the cognitive load of the numbers distracts them from the order of operations. Students choosing B (Katie) often believe that because subtraction appears first in the expression, it must be performed first (0.1 - 0.2), and then they see Katie's reordering as a way to 'fix' the negative result they anticipate. Additionally, many students struggle with the commuta",6,329,3
85,75,65,55,45,65,B,"The primary hurdle here is the 'Left-to-Right' bias. Many students instinctively read mathematical expressions like a sentence, performing 0.1 - 0.2 first. Because this results in a negative number (-0.1), students often feel they have made a mistake or that the order must be different. Katie's suggestion (B) is a highly attractive distractor because it 'fixes' the problem of starting with a smaller number, leading students to believe that subtraction and division are commutative or that the ord",6,329,4
85,75,65,50,40,63,C,"The most common error is choosing 'C' because students fail to recognise that Paul's expression violates the order of operations (BIDMAS/BODMAS). Students often read the word problem linearly and assume that because the 'multiply by 7' comes last in the text, it should simply be written at the end of the expression. They lack the structural understanding that the final multiplication must apply to the entire preceding result, requiring an outer set of brackets. Many students see Paul's use of do",6,361,0
85,78,65,52,45,65,C,"The most common error is choosing 'C' (Both) because students read the mathematical expressions left-to-right, mirroring the chronological order of the word problem. Many students fail to recognise that in Paul's expression, BIDMAS/Order of Operations dictates that the multiplication by 7 would happen *before* the addition of 4, whereas the word problem requires the addition to happen first. Students often view the brackets in Paul's expression as ""sufficient"" to show the sequence, failing to re",6,361,1
85,75,65,50,40,63,C,"The most common error is choosing 'C' (Both) because students read Paul's expression from left to right and assume the '+ 4' and '7' are applied in the order they appear in the text. They fail to recognise that in Paul's version, BIDMAS/BODMAS rules dictate that the multiplication by 7 would only apply to the bracketed term, leaving the +4 isolated at the end. Many students also struggle with the visual representation of the vinculum (fraction bar) acting as a grouping symbol in Jo's correct exp",6,361,2
85,75,65,50,40,63,C,"The most common error is choosing 'C' (Both) because students read Paul's expression from left to right and assume the '+ 4' and '7' are applied in the order they appear in the sentence. They fail to recognise that in Paul's version, the multiplication by 7 only applies to the division term, not the '+ 4', due to the BIDMAS/order of operations. Many students struggle with the nested nature of function machines when converted to algebraic notation, specifically the requirement for outer brackets ",6,361,3
85,75,65,50,40,63,C,"The most common error is selecting 'C' (Both) because students often fail to recognise that the final operation (multiply by 7) must apply to the entire previous expression, including the +4. Students frequently read Paul's expression linearly from left to right; because the +4 appears at the end of his expression, they assume it correctly represents the final step of the instruction, failing to notice that his brackets exclude the 4 from the multiplication. Additionally, many students struggle ",6,361,4
65,55,45,35,25,45,B,"The most common error stems from a rigid, literal interpretation of the BIDMAS/BODMAS acronym. Students often believe that 'Addition' must always come before 'Subtraction' because 'A' precedes 'S' in the mnemonic. Consequently, they calculate Tom's left side as (3+2)-1 = 4, but incorrectly calculate his right side as 3-(1+2) = 0, leading them to believe Tom is wrong. While they usually recognise Katie is correct due to the commutativity of addition and the priority of multiplication, their misun",6,550,0
65,55,45,35,25,45,B,"The primary misconception lies in Tom's statement. Many students are taught BIDMAS/BODMAS as a rigid hierarchy where Addition (A) must always come before Subtraction (S). Consequently, they incorrectly believe that in the expression 3-1+2, they must calculate 1+2 first, leading them to think 3-1+2 equals 0, whereas 3+2-1 equals 4. They fail to recognise that addition and subtraction have equal priority and should be processed left-to-right (or by treating the sign as attached to the number). Kat",6,550,1
65,55,45,35,25,45,A,"The most common error stems from a rigid, literal interpretation of BIDMAS/BODMAS. Many students believe that because 'A' (Addition) comes before 'S' (Subtraction) in the acronym, addition must always be performed first. Consequently, they calculate Tom's left side as (3+2)-1=4 and the right side as 3-(1+2)=0, leading them to believe Tom is wrong. Furthermore, students often struggle with the Commutative Property when it involves subtraction, failing to see the minus sign as being attached to th",6,550,2
65,55,45,35,25,45,A,"The most common error stems from a rigid, literal interpretation of BIDMAS/BODMAS. Many students believe that because 'A' (Addition) comes before 'S' (Subtraction) in the acronym, addition must always be performed first. Consequently, they calculate Tom's left side as (3+2)-1=4 and the right side as 3-(1+2)=0, leading them to believe Tom is incorrect. Furthermore, many students struggle with the concept of commutativity when it involves subtraction, failing to see that the sign belongs to the nu",6,550,3
65,55,45,35,25,45,B,"The primary misconception lies in Tom's statement. Many students are taught BIDMAS/BODMAS too rigidly and believe that Addition (A) must always come before Subtraction (S) because 'A' precedes 'S' in the acronym. Consequently, they calculate Tom's left side as (3+2)-1=4 and the right side as 3-(1+2)=0, leading them to believe Tom is incorrect. Furthermore, some students struggle with the commutative property when a subtraction sign is involved, failing to see the minus sign as 'belonging' to the",6,550,4
65,55,45,35,25,45,C,"The most common error is the 'left-to-right' misconception, where students ignore the Order of Operations (BIDMAS/BODMAS). They calculate 18 ÷ 2 = 9, then 9 + 2 = 11, and finally 11 × 2 = 22 (Answer C). Another common error is performing the addition before the multiplication (9 + 4 = 13 is correct, but some might do 18 ÷ 4), though the left-to-right processing remains the dominant intuitive mistake for students who haven't yet internalised that multiplication takes precedence over addition.",6,695,0
65,55,45,35,25,45,C,"The most common error is calculating strictly from left to right (18 ÷ 2 = 9, then 9 + 2 = 11, then 11 × 2 = 22), leading to option C. Students often view the equals sign as a prompt to perform operations in the order they appear. Even students who know the acronym BIDMAS/BODMAS often mistakenly believe that Addition must come before Multiplication because 'A' precedes 'M' in the acronym, which would lead to 18 ÷ (2 + 2) × 2, though this is less common than simple left-to-right processing. Optio",6,695,1
65,55,45,35,25,45,C,"The most common error is calculating strictly from left to right (18 ÷ 2 = 9; then 9 + 2 = 11; then 11 × 2 = 22), leading to option C. Students often view the equals sign as a prompt to ""do something"" with the next number they see rather than treating the expression as a whole. Even students who know the acronym BIDMAS/BODMAS often mistakenly believe Addition comes before Subtraction, or Multiplication before Division, or simply forget to apply the rules when the operators are mixed in a linear ",6,695,2
65,55,45,35,25,45,C,"The most common error is the 'Left-to-Right' misconception (Option C). Students often process the expression as a linear string: 18 ÷ 2 = 9, then 9 + 2 = 11, and finally 11 × 2 = 22. Despite learning BIDMAS/BODMAS, many students treat it as a suggestion rather than a rigid hierarchy, especially when the addition appears before the multiplication in the string. Option A (3) is also common among students who correctly identify the priority of 2x2 but then add it to 2 before dividing 18 by the resu",6,695,3
65,55,45,35,25,45,C,"The most common error is calculating strictly from left to right (18 ÷ 2 = 9, then 9 + 2 = 11, then 11 × 2 = 22), leading to answer C. Many students view the equals sign as a prompt to perform operations in the order they appear. Some students may also choose A by performing the addition first (2 + 2 = 4), then 18 ÷ 2 = 9, then 9 ÷ 4 or similar confused steps, but 'Left-to-Right' remains the dominant misconception for this specific structure.",6,695,4
75,65,55,45,35,55,A,"The primary misconception is the ""Left-to-Right"" bias, where students assume operations should be performed in the order they appear. Many students will choose A because they see 16 minus 'something' and want to reduce the 16 significantly to get to 7; they often calculate 16 - 10 = 6, then 6 ÷ 2 = 3, and then get confused or 'force' the math to fit. However, the most persistent error is failing to apply BIDMAS/BODMAS correctly when brackets are involved. Students often struggle with the fact th",6,728,0
75,60,50,40,30,51,A,"The primary misconception is a misunderstanding of the hierarchy of operations (BIDMAS/BODMAS). Many students believe that brackets simply 'go around the middle' or they prioritize the subtraction/addition because they appear first when reading left-to-right. 

Option A is the most common distractor because students often calculate 6+4=10, then 10/2=5, then 16-5=11 (incorrect answer) OR they mistakenly think 16-10=6, then 6/2=3. 

Another significant group of students will choose B or C because ",6,728,1
75,60,45,35,25,48,A,"The primary misconception here is a rigid, sequential application of BIDMAS/BODMAS without understanding the grouping effect of brackets. Many students select Option A because they see ""Addition before Subtraction"" in the mnemonic (AS), leading them to group the 6+4 first to get 10, then calculating 16-10=6, and finally 6/2=3 (failing to reach 7, but choosing the option that ""looks"" like a standard BIDMAS problem). Option D is often overlooked because students struggle to process three terms ins",6,728,2
75,65,55,45,35,55,B,"The primary misconception is the 'left-to-right' bias. Many students believe that operations should be performed in the order they appear, regardless of BIDMAS/BODMAS rules. Option B is the most common distractor because it reinforces the natural reading order (16-6=10, then 10+4=14, then 14/2=7). Students often fail to re-evaluate the entire expression once brackets are added; they see (16-6) and assume the rest follows sequentially. Option A is also a common pitfall for students who over-corre",6,728,3
75,65,55,45,35,55,A,"The primary misconception is the ""Left-to-Right"" bias, where students assume operations should be performed in the order they appear. Many students will struggle to reverse-engineer the BIDMAS/BODMAS rules. Option A is the most common distractor because students often mistakenly believe that brackets are only needed to 'group' the middle terms, or they calculate 16-10=6, then 6/2=3 (failing to reach 7 but choosing it because it 'looks' like a standard bracket placement). Option B is also popular",6,728,4
65,55,45,35,25,45,D,"The most common error is processing the calculation from left to right, ignoring the hierarchy of operations (BIDMAS/BODMAS). Students often calculate 4 + 12 = 16, then 16 ÷ 4 = 4 (Option D). Even students who remember the acronym often struggle with the ""brackets first"" rule when a division precedes the bracket, or they incorrectly prioritize the addition at the start because it appears first reading left-to-right. Option A (10) is another common error where students handle the brackets correct",6,746,0
65,55,45,35,25,45,D,"The most common error is a 'left-to-right' processing bias, ignoring the hierarchy of operations (BIDMAS/BODMAS). Students get answer D (4) by calculating 4+12=16, then 16÷(2+2) which is 16÷4=4. Even students who remember 'Brackets first' often mistakenly think they must then work strictly left-to-right with the remaining values. Answer A (10) is another common error where students do 4+12=16, 16÷2=8, then 8+2=10, completely ignoring both the brackets and the order of operations.",6,746,1
65,55,45,35,25,45,D,"The most common error is processing the calculation from left to right, ignoring the hierarchy of operations (BIDMAS/BODMAS). Students who answer 'D' (4) perform the calculation as (4+12) ÷ (2+2) = 16 ÷ 4 = 4. Even though the brackets are present, many students have a ""left-to-right"" compulsion that overrides their knowledge of brackets. Answer 'A' (10) is also common, where students do the division before the addition but ignore the brackets: 4 + (12 ÷ 2) + 2 = 12. The correct sequence requires",6,746,2
65,55,45,35,25,45,D,"The most common error is processing the calculation strictly from left to right: (4 + 12) = 16, then 16 ÷ 4 = 4. Students often ignore BIDMAS/order of operations when the addition appears first. Another common mistake is Option A (10), where students correctly calculate the brackets but then add before dividing (4 + 12 = 16, 16 ÷ 4 = 4 is common, but some do 12 ÷ 2 = 6, then 4 + 6 = 10, ignoring brackets). However, the 'left-to-right' compulsion remains the dominant misconception in UK secondary",6,746,3
65,55,45,35,25,45,A,"The most common error is following the operations strictly from left to right (4+12=16, then 16/4=4), leading to Option D, or more commonly, ignoring the brackets' priority over the division but keeping the addition first (4+12=16, then 16/2+2=10), leading to Option A. Option A is particularly common because students often remember BIDMAS/BODMAS but incorrectly believe Addition (A) comes before Subtraction (S) or that they should just work left-to-right once they've started. However, the specifi",6,746,4
65,50,40,30,25,42,B,"The most common error is the 'Left-to-Right' misconception (Option B), where students treat mathematics like reading a sentence. Even though BIDMAS/BODMAS is taught early in secondary school, many students revert to chronological processing under pressure. A smaller cohort chooses Option A because they have been taught 'Addition comes before Subtraction' in the acronym (AS), leading them to incorrectly believe addition must always be performed first even when it is at the end of the expression. ",6,899,0
65,50,40,30,25,42,B,"The most common error is the 'Left-to-Right' misconception (Option B). Students often view mathematics as a narrative that must be read from left to right, ignoring the hierarchical rules of BIDMAS/BODMAS. Even students who can recite the acronym often fail to apply it when the subtraction appears at the start of the expression. A smaller subset of students choose Option A due to a literal interpretation of BIDMAS where 'Addition' (A) comes before 'Subtraction' (S), leading them to group the end",6,899,1
65,50,40,30,25,42,B,"The most common error is the ""left-to-right"" bias (Option B). Students often view mathematics as a narrative that must be read from left to right, assuming that the sequence of numbers dictates the order of operations. Even when students know the BIDMAS/BODMAS acronym, many struggle to apply it when a subtraction or addition appears at the start of the expression. A smaller subset of students choose Option A due to the common misconception that 'Addition' must always come before 'Subtraction' be",6,899,2
65,50,40,30,25,42,B,"The most prevalent misconception is the 'Left-to-Right' bias. Many students view mathematics as a literal language to be read from left to right, leading them to choose 10 - 8 (Option B) as the first step. Even students who can recite 'BIDMAS' often fail to apply it when the subtraction appears at the start of the expression. Additionally, a smaller cohort of students may choose Option A (7 + 6) because they mistakenly believe Addition must always come before Subtraction due to the 'A' appearing",6,899,3
65,50,40,30,25,42,B,"The most prevalent misconception is the 'left-to-right' bias, where students treat mathematics like reading a sentence. Option B (10-8) is the most frequent error because it is the first operation encountered. Additionally, many students who have memorised the BIDMAS/BODMAS acronym still struggle with the hierarchy of operations when subtraction appears before multiplication in a string, or they mistakenly believe they must perform Addition (7+6) before Subtraction because 'A' comes before 'S' i",6,899,4
85,75,60,45,35,60,A,"The most common error is a failure to apply BIDMAS/BODMAS correctly. Students often read the expression from left to right, calculating (3 times 0.3) first to get 0.9, and then squaring that result to get 0.81 (Option A). This is a deep-seated misconception where the coefficient is bundled with the base before the exponent is applied. Another significant group of students will choose Option D (2.7) because they correctly square 0.3 to get 0.09 but then struggle with the decimal multiplication (3",6,919,0
85,75,65,50,40,63,A,"The primary error is a failure to follow the correct order of operations (BIDMAS/BODMAS). Many students read the expression $3x^2$ from left to right, leading them to calculate $(3 \times 0.3)^2 = 0.9^2 = 0.81$ (Option A). This is a very common misconception where students assume the coefficient is part of the base being squared. 

Another significant group of students will choose Option D (2.7) because they correctly square the 0.3 to get 0.09 but then make a place value error when multiplying ",6,919,1
85,75,60,45,35,60,A,"The most common error stems from a failure to follow the order of operations (BIDMAS/BODMAS). Students frequently multiply 3 by 0.3 first to get 0.9, and then square the result to get 0.81 (Answer A). This is a classic ""left-to-right"" processing error. Additionally, students often struggle with squaring decimals; many may correctly identify that they should square 0.3 first but calculate it as 0.9 rather than 0.09, leading them to 3 * 0.9 = 2.7 (Answer D). Lower ability students or younger cohor",6,919,2
85,70,55,45,35,58,A,"The primary error is a failure to follow the order of operations (BIDMAS/BODMAS). Many students read the expression from left to right, performing (3 * 0.3) first to get 0.9, and then squaring that result to get 0.81 (Answer A). Another common error involves decimal place value; students who correctly identify that they must square 0.3 first often calculate 0.3 * 0.3 as 0.9 rather than 0.09, leading them to 3 * 0.9 = 2.7 (Answer D). Lower-ability students may also multiply 0.3 by 2 instead of sq",6,919,3
85,70,55,45,35,58,A,"The most common error stems from a failure to follow the order of operations (BIDMAS/BODMAS). Students frequently multiply 3 by 0.3 first to get 0.9, and then square the result to get 0.81 (Answer A). This is a classic ""left-to-right"" processing error where indices are ignored in favour of the immediate operation. Additionally, students often struggle with squaring decimals; many will calculate 0.3 squared as 0.9 rather than 0.09, leading to Answer D (3 * 0.9 = 2.7). In younger year groups, the ",6,919,4
65,50,40,30,25,42,A,"The most common error is the ""left-to-right"" misconception (Option A), where students process the calculation in the order it is read (5+4=9, then 9x3=27). Despite being taught BIDMAS/BODMAS repeatedly, many students view addition and multiplication as having equal priority or simply follow the visual flow of the sentence. Younger students often forget the rule entirely, while older students in lower sets often revert to left-to-right processing under exam pressure or when they lack confidence i",6,1032,0
65,50,40,30,25,42,A,"The most common error is the ""left-to-right"" misconception (Option A), where students ignore the Order of Operations (BIDMAS/BODMAS) and simply calculate 5 + 4 = 9, then 9 x 3 = 27. Despite being taught the priority of multiplication over addition from Year 6 onwards, many students revert to reading the expression like a sentence. Even at GCSE level (Year 10/11), a significant number of students under pressure or in a non-calculator context will fall back on this intuitive but incorrect linear p",6,1032,1
65,50,40,30,25,42,A,"The most common error is the ""left-to-right"" misconception (Option A), where students ignore the hierarchy of operations (BIDMAS/BODMAS) and simply process the numbers as they read them: 5 + 4 = 9, then 9 × 3 = 27. Despite being taught order of operations early in Key Stage 3, many students revert to left-to-right processing under pressure or when they haven't achieved fluency. Option C represents a double error (adding then multiplying incorrectly), while Option D is a rarer calculation slip.",6,1032,2
65,50,40,30,25,42,A,"The most common error is the ""left-to-right"" misconception (Option A), where students ignore the Order of Operations (BIDMAS/BODMAS) and simply perform 5 + 4 = 9, then 9 × 3 = 27. Despite being taught the priority of multiplication over addition from Year 7, many students revert to reading the expression like a sentence, especially under time pressure or when they view the symbols as a simple sequence of instructions. Option C is a secondary error where students add first then multiply by both n",6,1032,3
65,50,40,30,25,42,A,"The most common error is the ""left-to-right"" misconception (Option A), where students ignore the Order of Operations (BIDMAS/BODMAS) and simply calculate 5 + 4 = 9, then 9 × 3 = 27. Despite being taught the priority of multiplication over addition from Year 6 onwards, many students default to reading a mathematical expression like a sentence. Even at GCSE level (Years 10-11), under pressure or when not prompted to think about order, a significant minority of students still revert to this intuiti",6,1032,4
65,50,35,25,15,38,C,"The most common error is failing to apply BIDMAS/BODMAS correctly. Students often work from left to right, calculating 2 x 3 first to get 6, and then squaring the result to get 36 (Option C). A secondary error is multiplying the base by the index (3 x 2 = 6) and then multiplying by the leading 2 to get 12 (Option B). In Year 7, the 'left-to-right' instinct is very strong, and even by Year 11, under exam pressure, many students revert to this linear processing instead of prioritising the exponent",6,1195,0
65,50,40,30,20,41,C,"The most common error is failing to follow the order of operations (BIDMAS/BODMAS). Students frequently read the expression from left to right, performing 2 x 3 first to get 6, and then squaring the result (6²) to get 36 (Option C). A secondary error is multiplying the base by the exponent (3 x 2 = 6, then 2 x 6 = 12, Option B), but the left-to-right processing is the dominant misconception in this specific structure.",6,1195,1
