target_key,target_type,QuestionId,question_text,correct_answer,target_distractor,target_answer,misconception_id,misconception_name,student_selection_pct,total_responses,pct_A,pct_B,pct_C,pct_D,discrimination,difficulty_irt,difficulty,difficulty_pct,human_target_rate
ORDER_OPS,procedural,1390,\( \frac{1}{3}+\frac{1}{2} \times \frac{1}{3}= \),A,B,\( \frac{5}{18} \),1507,Carries out operations from left to right regardless of priority order,11.65,103,47.57,11.65,28.16,12.62,0.9465,0.5667,1,56.67,11.65
ORDER_OPS,procedural,1465,"What does the following equal?
\[
3-5+4 \times 2
\]",A,B,\( 4 \),1507,Carries out operations from left to right regardless of priority order,46.68,1069,5.33,46.68,13.56,34.42,0.6709,0.5111,1,51.11,46.68
ORDER_OPS,procedural,1493,\( 8-7 \div 6^{3}= \) Which calculation should you do first?,A,C,\( 8-7 \),1507,Carries out operations from left to right regardless of priority order,12.46,1822,8.12,69.37,12.46,10.04,0.5914,0.2889,1,28.89,12.46
ORDER_OPS,procedural,1615,"I think of a number. I take away six and then divide the result by three. The answer I get is \( 21 \).
Which of the following equations represents this?",A,B,\( n-6 \div 3=21 \),1507,Carries out operations from left to right regardless of priority order,19.07,430,3.26,19.07,72.33,5.35,0.696,0.3067,1,30.669999999999998,19.07
ORDER_OPS,procedural,1728,\( \frac{3}{4}-\frac{1}{4} \times \frac{1}{5}= \),C,B,\( \frac{1}{10} \),1507,Carries out operations from left to right regardless of priority order,11.45,524,71.56,11.45,5.92,11.07,0.7233,0.289,1,28.9,11.45
NEG_MULTIPLY,conceptual,119,"Tom and Katie are trying to write different calculations for the diagram on the left.
Tom writes: \( -3 \times(-8)=-24 \)
Katie writes: \( \frac{(-24)}{-3}=-8 \)
Who is correct? ![A diagram showing an arrow to the left, marked with a value of -24. Underneath this arrow there is a smaller arrow, still pointing to the left, that is a third of the length of the larger arrow]()",D,A,"Only
Tom",1597,Believes multiplying two negatives gives a negative answer,13.3,564,13.3,10.82,67.38,8.51,0.5564,0.3077,1,30.769999999999996,13.3
NEG_MULTIPLY,conceptual,139,"Alison is expanding these two brackets.
What should she get when she multiplies the two terms indicated by the arrows? ![The two brackets are (5p-4)(2p-3). The arrows are pointing at the -4 in the first bracket and the -3 in the second bracket.]()",C,B,\( -12 \),1597,Believes multiplying two negatives gives a negative answer,21.31,122,6.56,21.31,63.11,9.02,0.7,0.4146,1,41.46,21.31
NEG_MULTIPLY,conceptual,290,Which of these could be used as a counter - example to disprove Katie's theory that \( 2 n^{2}-1 \) is positive?,B,C,\( 2(-2)^{2}-1 \),1597,Believes multiplying two negatives gives a negative answer,17.12,619,45.88,24.88,17.12,12.12,0.5391,0.3509,1,35.089999999999996,17.12
NEG_MULTIPLY,conceptual,466,\( -\frac{3}{4} \times \star=-1 \) What should replace the star?,A,B,\( -\frac{4}{3} \),1597,Believes multiplying two negatives gives a negative answer,21.51,1725,18.2,21.51,20.35,39.94,0.5914,0.543,1,54.300000000000004,21.51
NEG_MULTIPLY,conceptual,655,"What should replace the star?

\(
(-6) \times \color{gold}\bigstar \color{black} =-8
\)",D,C,\( -\frac{8}{6} \),1597,Believes multiplying two negatives gives a negative answer,48.69,2136,7.77,32.77,48.69,10.77,0.5664,0.5376,1,53.76,48.69
NEG_MULTIPLY,conceptual,867,Which of the following answers shows a correct expansion and simplification of the expression below? \( (x-4)^{2} \),A,D,\( x^{2}-8 x-16 \),1597,Believes multiplying two negatives gives a negative answer,10.47,659,63.13,12.9,13.51,10.47,0.6617,0.3713,1,37.13,10.47
NEG_MULTIPLY,conceptual,936,"Tom and Katie are arguing about factorising. Tom says \( x^{2}+5 x+6 \equiv(x+3)(x+2) \) 
Katie says \( x^{2}-5 x-6 \equiv(x-3)(x-2) \) 
Who is correct?",A,C,Both Tom and Katie,1597,Believes multiplying two negatives gives a negative answer,18.4,1147,52.66,10.46,18.4,18.48,0.6268,0.4387,1,43.87,18.4
NEG_MULTIPLY,conceptual,1035,"Expand:
\(
-(2-3 p)
\)",D,B,\( -2-3 p \),1597,Believes multiplying two negatives gives a negative answer,57.14,147,10.2,57.14,12.24,20.41,0.9312,0.4286,1,42.86,57.14
NEG_MULTIPLY,conceptual,1373,Multiply out the brackets: \( -3(m-2) \),D,B,\( -3 m-6 \),1597,Believes multiplying two negatives gives a negative answer,24.48,866,42.84,24.48,19.86,12.82,0.6356,0.5689,1,56.88999999999999,24.48
NEG_MULTIPLY,conceptual,1383,"\(
T=k^{4}
\)

What is the value of \( T \) when \( k=-3 \) ?",A,C,\( -81 \),1597,Believes multiplying two negatives gives a negative answer,52.66,4825,19.67,22.11,52.66,5.55,0.6617,0.3403,1,34.03,52.66
NEG_MULTIPLY,conceptual,1491,\( (-2)^{4}= \),C,A,\( -16 \),1597,Believes multiplying two negatives gives a negative answer,74.35,655,74.35,9.31,9.62,6.72,0.6576,0.2679,1,26.790000000000003,74.35
NEG_MULTIPLY,conceptual,1540,"This is part of a table of values for
\[y=x^{2} -2 x+1\] \begin{tabular}{|c|c|}
\hline\( x \) & \( -1 \) \\
\hline\( y \) & \(\bigstar\) \\
\hline
\end{tabular} What should replace the star?",B,A,\( -2 \),1597,Believes multiplying two negatives gives a negative answer,76.79,504,76.79,10.52,3.97,8.73,0.6719,0.2439,1,24.39,76.79
NEG_MULTIPLY,conceptual,1718,"Which of the following answers shows a correct expansion and simplification of the expression below?

\(
(x-3)^{2}
\)",D,A,\( x^{2}-6 x-9 \),1597,Believes multiplying two negatives gives a negative answer,25.12,207,25.12,54.11,10.63,10.14,0.9266,0.4589,1,45.89,25.12
FRAC_ADD,conceptual,525,\( 2 \frac{7}{10}+2 \frac{1}{4}= \) Leave your answer as a mixed number,B,C,\( \frac{99}{40} \),217,"When adding fractions, adds the numerators and denominators",17.58,1701,46.91,22.34,17.58,13.17,0.6612,0.5224,1,52.239999999999995,17.58
FRAC_ADD,conceptual,698,"![Two spinners shown. The first spinner has the numbers 1-4 and the second spinner has the number 1-5.]() You spin the above fair spinners
What is the probability of getting a \( 1 \) on both spinners?",B,C,\( \frac{2}{9} \),217,"When adding fractions, adds the numerators and denominators",17.27,249,7.23,8.03,17.27,67.47,0.9276,0.3253,1,32.53,17.27
FRAC_ADD,conceptual,789,"Work out:
\(
\frac{3}{10}+\frac{5}{10}
\)
Write your answer in its simplest form.",C,A,\( \frac{8}{20} \),217,"When adding fractions, adds the numerators and denominators",16.77,155,16.77,36.77,34.84,11.61,0.9469,0.6323,1,63.23,16.77
FRAC_ADD,conceptual,1055,"The fractions in the two circles below add to give the fraction in the circle above.

What should replace the question mark? ![Fractions 3/5 and 1/4 in two separate circles, both linked to a third circle above.]()",D,A,\( \frac{4}{9} \),217,"When adding fractions, adds the numerators and denominators",16.4,933,16.4,59.59,15.33,8.68,0.6148,0.4249,1,42.49,16.4
FRAC_ADD,conceptual,1386,"Write this as a single fraction as simply as possible
\(
\frac{2}{x}+\frac{3}{x}
\)",B,C,\( \frac{5}{2 x} \),217,"When adding fractions, adds the numerators and denominators",55.64,133,14.29,8.27,55.64,21.8,0.9537,0.4436,1,44.36,55.64
FRAC_ADD,conceptual,1390,\( \frac{1}{3}+\frac{1}{2} \times \frac{1}{3}= \),A,C,\( \frac{2}{9} \),217,"When adding fractions, adds the numerators and denominators",28.16,103,47.57,11.65,28.16,12.62,0.9465,0.5667,1,56.67,28.16
FRAC_ADD,conceptual,1430,"Calculate:
\(
\frac{2}{7}+\frac{1}{7}
\)",C,D,\( \frac{3}{14} \),217,"When adding fractions, adds the numerators and denominators",64.72,462,23.16,6.28,5.84,64.72,0.7234,0.2679,1,26.790000000000003,64.72
FRAC_ADD,conceptual,1526,"The fractions in the two circles below add to give the fraction in the circle above.

What should replace the question mark? ![Two circles containing the fractions 3/5 and 2/7, both linked to a third circle above]()",B,C,\( \frac{5}{12} \),217,"When adding fractions, adds the numerators and denominators",17.41,741,58.84,16.46,17.41,7.29,0.6073,0.4444,1,44.440000000000005,17.41
