question_id,question_text,correct_answer,target_distractor,misconception_id,misconception_name,misconception_type,human_target_rate,total_responses,pct_A,pct_B,pct_C,pct_D,irt_difficulty,irt_discrimination,irt_guessing,option_A,option_B,option_C,option_D
254,"When calculating the mean of the following numbers which calculation will give the correct answer?
\[
0,1,3,4,7
\]",A,B,1507,Carries out operations from left to right regardless of priority order,procedural,12.35,688,5.67,12.35,62.06,19.91,0.3476,0.6669,0.1875,\( \frac{1+3+4+7}{5} \),\( 0+1+3+4+7 \div 5 \),\( \frac{1+3+4+7}{4} \),None of them
304,"\[
1+2 \times(3-4)=
\]

Which calculation should you do first?",C,A,1507,Carries out operations from left to right regardless of priority order,procedural,11.13,1582,11.13,8.09,72.95,7.84,0.2784,0.6102,0.2834,\( 1+2 \),\( 2 \times 3 \),\( 3-4 \),It doesn't matter: you get the same answer
306,"Problem P: \( 4-5+6= \)
Problem Q: \( 4+5 \times 6= \)

Which calculation should you do first in each problem?",B,A,1507,Carries out operations from left to right regardless of priority order,procedural,75.62,283,75.62,13.78,1.41,9.19,0.2438,0.9671,0.1039,"Problem P: \( 4-5 \)
Problem Q: \( 4+5 \)","Problem P: \( 4-5 \)
Problem Q: \( 5 \times 6 \)","Problem P: \( 5+6 \)
Problem Q: \( 4+5 \)","Problem P: \( 5+6 \)
Problem Q: \( 5 \times 6 \)"
1032,\( 5+4 \times 3= \),B,A,1507,Carries out operations from left to right regardless of priority order,procedural,32.02,965,32.02,47.67,10.05,10.26,0.5253,0.6698,0.1496,\( 27 \),\( 17 \),\( 60 \),\( 12 \)
1195,\( 2 \times 3^{2}= \),A,C,1507,Carries out operations from left to right regardless of priority order,procedural,63.73,2068,11.94,17.31,63.73,7.01,0.351,0.615,0.297,\( 18 \),\( 12 \),\( 36 \),\( 11 \)
1229,"What answer would your calculator give if you typed in
\(
-6^{2}
\) ![A scientific calculator]()",D,C,1507,Carries out operations from left to right regardless of priority order,procedural,16.9,142,21.83,20.42,16.9,40.85,0.6444,0.6467,0.0769,\( 12 \),\( -12 \),\( 36 \),\( -36 \)
1310,"Which calculation should you do first?
\(
((0.5 \div(0.2+0.4)-0.3) \times 0.6)
\)",B,A,1507,Carries out operations from left to right regardless of priority order,procedural,22.37,693,22.37,15.01,14.43,48.2,0.5638,0.5913,0.1024,\( 0.5 \div 0.2 \),\( 0.2+0.4 \),\( 0.4-0.3 \),\( 0.3 \times 0.6 \)
1343,\( 12 \div 2+1 \times 2= \),D,C,1507,Carries out operations from left to right regardless of priority order,procedural,55.11,274,2.19,18.25,55.11,24.45,0.4286,0.6673,0.0909,\( 9 \),\( 3 \),\( 14 \),\( 8 \)
1390,\( \frac{1}{3}+\frac{1}{2} \times \frac{1}{3}= \),A,B,1507,Carries out operations from left to right regardless of priority order,procedural,11.65,103,47.57,11.65,28.16,12.62,0.5667,0.9465,0.0,\( \frac{1}{2} \),\( \frac{5}{18} \),\( \frac{2}{9} \),\( \frac{1}{15} \)
1465,"What does the following equal?
\[
3-5+4 \times 2
\]",A,B,1507,Carries out operations from left to right regardless of priority order,procedural,46.68,1069,5.33,46.68,13.56,34.42,0.5111,0.6709,0.0926,\( 6 \),\( 4 \),\( -12 \),\( -10 \)
1493,\( 8-7 \div 6^{3}= \) Which calculation should you do first?,A,C,1507,Carries out operations from left to right regardless of priority order,procedural,12.46,1822,8.12,69.37,12.46,10.04,0.2889,0.5914,0.3111,\( 6^{3} \),\( 7 \div 6 \),\( 8-7 \),It doesn't matter: you get the same answer
1615,"I think of a number. I take away six and then divide the result by three. The answer I get is \( 21 \).
Which of the following equations represents this?",A,B,1507,Carries out operations from left to right regardless of priority order,procedural,19.07,430,3.26,19.07,72.33,5.35,0.3067,0.696,0.2857,\( \frac{n-6}{3}=21 \),\( n-6 \div 3=21 \),\( 3(n-6)=21 \),\( \frac{n}{3}-6=21 \)
1728,\( \frac{3}{4}-\frac{1}{4} \times \frac{1}{5}= \),C,B,1507,Carries out operations from left to right regardless of priority order,procedural,11.45,524,71.56,11.45,5.92,11.07,0.289,0.7233,0.1863,\( \frac{2}{16} \),\( \frac{1}{10} \),\( \frac{7}{10} \),\( \frac{5}{10} \)
119,"Tom and Katie are trying to write different calculations for the diagram on the left.
Tom writes: \( -3 \times(-8)=-24 \)
Katie writes: \( \frac{(-24)}{-3}=-8 \)
Who is correct? ![A diagram showing an arrow to the left, marked with a value of -24. Underneath this arrow there is a smaller arrow, still pointing to the left, that is a third of the length of the larger arrow]()",D,A,1597,Believes multiplying two negatives gives a negative answer,conceptual,13.3,564,13.3,10.82,67.38,8.51,0.3077,0.5564,0.3846,"Only
Tom","Only
Katie",Both Tom and Katie,Neither is correct
139,"Alison is expanding these two brackets.
What should she get when she multiplies the two terms indicated by the arrows? ![The two brackets are (5p-4)(2p-3). The arrows are pointing at the -4 in the first bracket and the -3 in the second bracket.]()",C,B,1597,Believes multiplying two negatives gives a negative answer,conceptual,21.31,122,6.56,21.31,63.11,9.02,0.4146,0.7,0.1818,\( +7 \),\( -12 \),\( +12 \),\( -7 \)
290,Which of these could be used as a counter - example to disprove Katie's theory that \( 2 n^{2}-1 \) is positive?,B,C,1597,Believes multiplying two negatives gives a negative answer,conceptual,17.12,619,45.88,24.88,17.12,12.12,0.3509,0.5391,0.4348,\( 2\left(\frac{3}{4}\right)^{2}-1 \),\( 2(0.5)^{2}-1 \),\( 2(-2)^{2}-1 \),\( 2(-1)^{2}-1 \)
466,\( -\frac{3}{4} \times \star=-1 \) What should replace the star?,A,B,1597,Believes multiplying two negatives gives a negative answer,conceptual,21.51,1725,18.2,21.51,20.35,39.94,0.543,0.5914,0.1818,\( \frac{4}{3} \),\( -\frac{4}{3} \),\( \frac{3}{4} \),\( -\frac{3}{4} \)
655,"What should replace the star?

\(
(-6) \times \color{gold}\bigstar \color{black} =-8
\)",D,C,1597,Believes multiplying two negatives gives a negative answer,conceptual,48.69,2136,7.77,32.77,48.69,10.77,0.5376,0.5664,0.1771,\( \frac{6}{8} \),\( -\frac{6}{8} \),\( -\frac{8}{6} \),\( \frac{8}{6} \)
867,Which of the following answers shows a correct expansion and simplification of the expression below? \( (x-4)^{2} \),A,D,1597,Believes multiplying two negatives gives a negative answer,conceptual,10.47,659,63.13,12.9,13.51,10.47,0.3713,0.6617,0.2222,\( x^{2}-8 x+16 \),\( x^{2}+16 \),\( x^{2}-16 \),\( x^{2}-8 x-16 \)
936,"Tom and Katie are arguing about factorising. Tom says \( x^{2}+5 x+6 \equiv(x+3)(x+2) \) 
Katie says \( x^{2}-5 x-6 \equiv(x-3)(x-2) \) 
Who is correct?",A,C,1597,Believes multiplying two negatives gives a negative answer,conceptual,18.4,1147,52.66,10.46,18.4,18.48,0.4387,0.6268,0.1898,Only Tom,Only Katie,Both Tom and Katie,Neither is correct
1035,"Expand:
\(
-(2-3 p)
\)",D,B,1597,Believes multiplying two negatives gives a negative answer,conceptual,57.14,147,10.2,57.14,12.24,20.41,0.4286,0.9312,0.0,\( 2-3 p \),\( -2-3 p \),\( 2+3 p \),\( -2+3 p \)
1373,Multiply out the brackets: \( -3(m-2) \),D,B,1597,Believes multiplying two negatives gives a negative answer,conceptual,24.48,866,42.84,24.48,19.86,12.82,0.5689,0.6356,0.1048,\( 3 m+6 \),\( -3 m-6 \),\( 3 m-6 \),\( -3 m+6 \)
1383,"\(
T=k^{4}
\)

What is the value of \( T \) when \( k=-3 \) ?",A,C,1597,Believes multiplying two negatives gives a negative answer,conceptual,52.66,4825,19.67,22.11,52.66,5.55,0.3403,0.6617,0.2393,\( 81 \),\( 12 \),\( -81 \),\( -12 \)
1491,\( (-2)^{4}= \),C,A,1597,Believes multiplying two negatives gives a negative answer,conceptual,74.35,655,74.35,9.31,9.62,6.72,0.2679,0.6576,0.3333,\( -16 \),\( -8 \),\( 16 \),\( 8 \)
1540,"This is part of a table of values for
\[y=x^{2} -2 x+1\] \begin{tabular}{|c|c|}
\hline\( x \) & \( -1 \) \\
\hline\( y \) & \(\bigstar\) \\
\hline
\end{tabular} What should replace the star?",B,A,1597,Believes multiplying two negatives gives a negative answer,conceptual,76.79,504,76.79,10.52,3.97,8.73,0.2439,0.6719,0.381,\( -2 \),\( 4 \),\( 2 \),\( 0 \)
1718,"Which of the following answers shows a correct expansion and simplification of the expression below?

\(
(x-3)^{2}
\)",D,A,1597,Believes multiplying two negatives gives a negative answer,conceptual,25.12,207,25.12,54.11,10.63,10.14,0.4589,0.9266,0.0,\( x^{2}-6 x-9 \),\( x^{2}-9 \),\( x^{2}+9 \),\( x^{2}-6 x+9 \)
